D,V
1339.502,20.950
1339.806,46.376
1340.109,21.307
1340.413,21.267
1340.716,20.871
1341.019,46.376
1341.323,20.911
1341.626,46.376
1341.930,46.337
1342.233,46.337
1342.536,20.792
1342.840,21.030
1343.143,21.030
1343.447,46.337
1343.750,46.337
1344.053,46.376
1344.357,20.238
1344.660,20.317
1344.964,20.238
1345.267,21.109
1345.570,20.554
1345.874,30.970
1346.177,21.347
1346.481,30.970
1346.784,21.228
1347.087,30.931
1347.391,21.347
1347.694,21.228
1347.998,20.990
1348.301,21.149
1348.604,20.634
1348.908,20.594
1349.211,20.792
1349.515,20.356
1349.818,46.733
1350.121,46.733
1350.425,46.733
1350.728,20.396
1351.032,46.772
1351.335,20.317
1351.638,21.030
1351.942,21.069
1352.245,21.069
1352.549,46.891
1352.852,46.891
1353.155,21.069
1353.459,46.931
1353.762,21.069
1354.066,20.554
1354.369,46.931
1354.672,20.554
1354.976,20.871
1355.279,20.911
1355.583,20.713
1355.886,21.386
1356.189,46.772
1356.493,21.901
1356.796,22.139
1357.100,22.455
1357.403,22.297
1357.706,22.495
1358.010,22.812
1358.313,22.653
1358.617,23.050
1358.920,23.248
1359.223,46.693
1359.527,23.010
1359.830,46.535
1360.133,30.931
1360.437,46.416
1360.740,23.881
1361.044,23.723
1361.347,23.881
1361.650,46.099
1361.954,46.020
1362.257,23.644
1362.561,45.941
1362.864,45.901
1363.167,45.861
1363.471,24.238
1363.774,24.277
1364.078,45.743
1364.381,24.198
1364.684,24.356
1364.988,24.475
1365.291,24.752
1365.595,45.663
1365.898,45.663
1366.201,24.277
1366.505,24.752
1366.808,24.475
1367.112,23.604
1367.415,30.931
1367.718,22.891
1368.022,46.733
1368.325,22.416
1368.629,21.861
1368.932,20.871
1369.235,21.584
1369.539,20.673
1369.842,19.921
1370.146,20.515
1370.449,20.040
1370.752,19.129
1371.056,18.970
1371.359,19.129
1371.663,47.604
1371.966,18.891
1372.269,47.564
1372.573,18.891
1372.876,19.287
1373.180,20.040
1373.483,19.881
1373.786,19.762
1374.090,19.683
1374.393,20.436
1374.697,20.158
1375.000,20.554
1375.303,20.634
1375.607,20.475
1375.910,20.515
1376.214,47.208
1376.517,30.970
1376.820,20.911
1377.124,20.950
1377.427,20.911
1377.731,20.911
1378.034,47.248
1378.337,47.366
1378.641,20.554
1378.944,20.792
1379.248,47.446
1379.551,20.911
1379.854,21.149
1380.158,20.832
1380.461,47.446
1380.765,21.267
1381.068,20.713
1381.371,20.594
1381.675,20.040
1381.978,47.604
1382.282,19.842
1382.585,19.525
1382.888,19.287
1383.192,19.208
1383.495,47.960
1383.799,19.208
1384.102,18.931
1384.405,18.891
1384.709,48.158
1385.012,18.931
1385.316,18.653
1385.619,18.851
1385.922,18.733
1386.226,18.495
1386.529,48.277
1386.833,18.257
1387.136,48.317
1387.439,18.495
1387.743,18.059
1388.046,48.317
1388.350,18.297
1388.653,18.257
1388.956,18.851
1389.260,48.436
1389.563,48.515
1389.867,48.515
1390.170,48.515
1390.473,30.931
1390.777,19.050
1391.080,19.248
1391.383,18.733
1391.687,18.495
1391.990,18.891
1392.294,18.337
1392.597,48.752
1392.900,48.752
1393.204,17.980
1393.507,17.941
1393.811,17.901
1394.114,18.257
1394.417,18.851
1394.721,18.416
1395.024,18.218
1395.328,19.089
1395.631,18.931
1395.934,48.990
1396.238,19.802
1396.541,19.327
1396.845,20.040
1397.148,48.752
1397.451,20.040
1397.755,20.119
1398.058,48.515
1398.362,48.515
1398.665,20.713
1398.968,20.950
1399.272,20.911
1399.575,20.673
1399.879,20.673
1400.182,20.673
1400.485,48.198
1400.789,20.634
1401.092,20.554
1401.396,20.515
1401.699,21.069
1402.002,20.594
1402.306,21.069
1402.609,20.554
1402.913,48.198
1403.216,48.198
1403.519,20.198
1403.823,20.119
1404.126,20.713
1404.430,48.277
1404.733,48.277
1405.036,19.446
1405.340,48.317
1405.643,19.881
1405.947,19.485
1406.250,19.960
1406.553,19.644
1406.857,19.921
1407.160,20.554
1407.464,20.119
1407.767,20.238
1408.070,48.792
1408.374,20.673
1408.677,48.911
1408.981,20.238
1409.284,48.832
1409.587,20.277
1409.891,20.554
1410.194,20.594
1410.498,20.356
1410.801,20.634
1411.104,48.356
1411.408,20.990
1411.711,21.030
1412.015,21.030
1412.318,48.198
1412.621,48.198
1412.925,20.792
1413.228,20.356
1413.532,20.832
1413.835,21.188
1414.138,20.832
1414.442,30.970
1414.745,21.069
1415.049,30.970
1415.352,21.267
1415.655,47.921
1415.959,47.921
1416.262,20.238
1416.566,21.267
1416.869,47.802
1417.172,47.842
1417.476,20.396
1417.779,20.515
1418.083,47.921
1418.386,47.921
1418.689,21.069
1418.993,21.545
1419.296,20.832
1419.600,20.713
1419.903,21.545
1420.206,21.545
1420.510,20.990
1420.813,47.921
1421.117,47.881
1421.420,21.386
1421.723,30.931
1422.027,30.931
1422.330,21.267
1422.633,20.752
1422.937,21.307
1423.240,20.634
1423.544,20.475
1423.847,20.317
1424.150,20.000
1424.454,19.604
1424.757,47.644
1425.061,19.604
1425.364,19.406
1425.667,47.723
1425.971,19.366
1426.274,47.921
1426.578,19.168
1426.881,47.921
1427.184,48.158
1427.488,48.119
1427.791,18.891
1428.095,19.089
1428.398,19.287
1428.701,19.485
1429.005,48.317
1429.308,19.762
1429.612,48.356
1429.915,19.406
1430.218,20.000
1430.522,18.772
1430.825,18.337
1431.129,48.277
1431.432,18.139
1431.735,18.139
1432.039,18.139
1432.342,18.297
1432.646,18.376
1432.949,18.337
1433.252,19.050
1433.556,20.079
1433.859,48.079
1434.163,19.921
1434.466,20.515
1434.769,47.802
1435.073,20.832
1435.376,20.911
1435.680,47.644
1435.983,47.564
1436.286,30.970
1436.590,47.525
1436.893,20.990
1437.197,21.030
1437.500,21.188
1437.803,20.832
1438.107,21.188
1438.410,21.505
1438.714,21.545
1439.017,21.149
1439.320,47.644
1439.624,21.267
1439.927,47.683
1440.231,47.683
1440.534,47.683
1440.837,20.277
1441.141,20.277
1441.444,20.277
1441.748,47.683
1442.051,20.356
1442.354,20.594
1442.658,20.792
1442.961,47.604
1443.265,20.990
1443.568,21.149
1443.871,20.871
1444.175,21.228
1444.478,47.683
1444.782,47.723
1445.085,47.762
1445.388,21.386
1445.692,47.683
1445.995,47.762
1446.299,47.921
